FlightId,Price,StopCount,Departue,Arrival,FlightTime,Airline(s),DepartureCity,ArrivalCity
15062-2210040845--31825-0-13416-2210041118,286.4,0,10/4/2022 8:45:00 AM,10/4/2022 11:18:00 AM,273,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210041500--32480-0-13416-2210041722,354.5,0,10/4/2022 3:00:00 PM,10/4/2022 5:22:00 PM,262,,British Airways,Chicago O'Hare International,Los Angeles International
15062-2210042159--31825-0-13416-2210050039,287.5,0,10/4/2022 9:59:00 PM,10/5/2022 12:39:00 AM,280,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210041705--31825-0-13416-2210041940,287.5,0,10/4/2022 5:05:00 PM,10/4/2022 7:40:00 PM,275,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210040715--32626-0-13416-2210040932,354.5,0,10/4/2022 7:15:00 AM,10/4/2022 9:32:00 AM,257,,Air Tahiti Nui,Chicago O'Hare International,Los Angeles International
15062-2210041905--31940-0-13416-2210042122,357.88,0,10/4/2022 7:05:00 PM,10/4/2022 9:22:00 PM,257,,Qantas,Chicago O'Hare International,Los Angeles International
15062-2210041540--32646-0-13416-2210041800,353.4,0,10/4/2022 3:40:00 PM,10/4/2022 6:00:00 PM,260,,Air New Zealand,Chicago O'Hare International,Los Angeles International
15062-2210041700--32257-0-13416-2210041917,357.88,0,10/4/2022 5:00:00 PM,10/4/2022 7:17:00 PM,257,,Gulf Air,Chicago O'Hare International,Los Angeles International
15062-2210041000--32480-0-13416-2210041224,354.5,0,10/4/2022 10:00:00 AM,10/4/2022 12:24:00 PM,264,,British Airways,Chicago O'Hare International,Los Angeles International
15062-2210040825--32184-0-13416-2210041044,357.88,0,10/4/2022 8:25:00 AM,10/4/2022 10:44:00 AM,259,,Japan Airlines,Chicago O'Hare International,Los Angeles International
15062-2210051705--31825-0-13416-2210051940,335.03,0,10/5/2022 5:05:00 PM,10/5/2022 7:40:00 PM,275,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210051000--32480-0-13416-2210051224,357.09,0,10/5/2022 10:00:00 AM,10/5/2022 12:24:00 PM,264,,British Airways,Chicago O'Hare International,Los Angeles International
15062-2210051540--32646-0-13416-2210051800,355.95,0,10/5/2022 3:40:00 PM,10/5/2022 6:00:00 PM,260,,Air New Zealand,Chicago O'Hare International,Los Angeles International
15062-2210051700--32257-0-13416-2210051917,357.09,0,10/5/2022 5:00:00 PM,10/5/2022 7:17:00 PM,257,,Gulf Air,Chicago O'Hare International,Los Angeles International
15062-2210051540--31722-0-13416-2210051800,362.6,0,10/5/2022 3:40:00 PM,10/5/2022 6:00:00 PM,260,,United,Chicago O'Hare International,Los Angeles International
15062-2210052159--31825-0-13416-2210060039,258.17,0,10/5/2022 9:59:00 PM,10/6/2022 12:39:00 AM,280,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210050825--32184-0-13416-2210051044,357.09,0,10/5/2022 8:25:00 AM,10/5/2022 10:44:00 AM,259,,Japan Airlines,Chicago O'Hare International,Los Angeles International
15062-2210051905--31940-0-13416-2210052122,357.09,0,10/5/2022 7:05:00 PM,10/5/2022 9:22:00 PM,257,,Qantas,Chicago O'Hare International,Los Angeles International
15062-2210050715--32626-0-13416-2210050932,357.09,0,10/5/2022 7:15:00 AM,10/5/2022 9:32:00 AM,257,,Air Tahiti Nui,Chicago O'Hare International,Los Angeles International
15062-2210050814--31825-0-13416-2210051047,258.17,0,10/5/2022 8:14:00 AM,10/5/2022 10:47:00 AM,273,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210060822--31825-0-13416-2210061055,268.59,0,10/6/2022 8:22:00 AM,10/6/2022 10:55:00 AM,273,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210062013--31722-0-13416-2210062244,362.6,0,10/6/2022 8:13:00 PM,10/6/2022 10:44:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210061254--31722-0-13416-2210061525,362.6,0,10/6/2022 12:54:00 PM,10/6/2022 3:25:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210062159--31825-0-13416-2210070039,268.59,0,10/6/2022 9:59:00 PM,10/7/2022 12:39:00 AM,280,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210060712--31722-0-13416-2210060939,362.6,0,10/6/2022 7:12:00 AM,10/6/2022 9:39:00 AM,267,,United,Chicago O'Hare International,Los Angeles International
15062-2210061540--31722-0-13416-2210061800,362.6,0,10/6/2022 3:40:00 PM,10/6/2022 6:00:00 PM,260,,United,Chicago O'Hare International,Los Angeles International
15062-2210061035--31722-0-13416-2210061300,362.6,0,10/6/2022 10:35:00 AM,10/6/2022 1:00:00 PM,265,,United,Chicago O'Hare International,Los Angeles International
15062-2210061412--31722-0-13416-2210061643,362.6,0,10/6/2022 2:12:00 PM,10/6/2022 4:43:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210061930--31825-0-13416-2210062207,348.59,0,10/6/2022 7:30:00 PM,10/6/2022 10:07:00 PM,277,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210060850--31722-0-13416-2210061119,362.6,0,10/6/2022 8:50:00 AM,10/6/2022 11:19:00 AM,269,,United,Chicago O'Hare International,Los Angeles International
15062-2210081930--31825-0-13416-2210082207,268.59,0,10/8/2022 7:30:00 PM,10/8/2022 10:07:00 PM,277,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210081035--31722-0-13416-2210081300,362.62,0,10/8/2022 10:35:00 AM,10/8/2022 1:00:00 PM,265,,United,Chicago O'Hare International,Los Angeles International
15062-2210081405--31722-0-13416-2210081636,362.62,0,10/8/2022 2:05:00 PM,10/8/2022 4:36:00 PM,271,,United,Chicago O'Hare International,Los Angeles International
15062-2210081540--31722-0-13416-2210081800,362.62,0,10/8/2022 3:40:00 PM,10/8/2022 6:00:00 PM,260,,United,Chicago O'Hare International,Los Angeles International
15062-2210082159--31825-0-13416-2210090039,268.59,0,10/8/2022 9:59:00 PM,10/9/2022 12:39:00 AM,280,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
